Designator,Quantity,Comment,Description,Footprint

"BOOT0, RESET","2","ITT / C&K Components KMR231GLFS","Switch Tactile N.O. SPST Button Gull Wing 0.05A 32VDC 1VA 150000Cycles 3N SMD Automotive T/R","SW4SMD_63X161LS"
"BOX1","1","CU3242","BUD Industries CU3242 Enclosure","CU-3242"
"C1, C2, C4, C5, C6, C7, C8, C9, C10, C11","10","10uF","0805 10 uF 10 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor","C0805"
"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24","11","0.1uF","Ceramic capacitor SMD 0805 0.1 µF 50 V 10 % Yageo CC0805KRX7R9BB104 1 pc(s)","PCB-bgadz4xbubbd3co6jzoj-1"
"C25","1","1uF","CAP CER 1UF 25V 10% X5R 0805","PCB-aqwsx5blceswzrofzfmv-1"
"C26","1","0.01uF","0805 10 nF 50 V ±5 % Tolerance X7R SMT Multilayer Ceramic Capacitor","C0805"
"C27, C28, C29, C30","4","0.22uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts .22uF 10%","PCB-bgadz4xbubbd3co6jzoj-1"
"D1, D2, D3","3","1N4148W-7-F","1N4148W Series 2 A 100 V 400 mW Surface Mount Fast Switching Diode - SOD-123","PCB-pc8w7ghvx4b2ajkb2zkc-1"
"D4","1","SZNUP2105LT3G","Dual Line CAN Bus Protector, 3-Pin SOT-23, Pb-Free, Tape and Reel","ONSC-SOT-23-3-318-08_V"
"EXT VCC, UART2, UART3","3","Header_6x1","Conn Unshrouded Header HDR 2 POS 2.54mm Solder ST Thru-Hole Bag","PCB-7hc2nr5bn4tgoucwa5ir-1"
"FID1, FID2, FID3","3","Fiducials","Fiducials for pick-n-place","0.5mm Fiducial"
"FTDI","1","Samtec SLW-106-01-T-S","Conn Socket Strip SKT 6 POS 2.54mm Solder ST Thru-Hole Bulk","PCB-a9fxjiuhfa2czfmrx6bk-1"
"J1","1","MicroUSB-B","Socket [Würth Elektronik] 614105150721 Socket","USB connector B"
"JTAG","1","10 pin JTAG header, 1.27mm pitch","JTAG header, 1.27mm pitch, dual row, shrouded with keying slot","10 pin JTAG"
"LED1","1","Würth Elektronik 150141M173100","SMD LED [Würth Elektronik] 150141M173100 SMD LED","PCB-12518653-1"
"MIC","1","100 mil Header x5","5 Positions Header, Unshrouded Connector 0.100", Through Hole Tin","PCB-iqxn5ofl59ajeekzic4e-1"
"P1","1","TE Connectivity / AMP 827229-1","Pin enclosure - PCB J-P-T Total number of pins 24 TE Connectivity 827229-1 Contact spacing: 5 mm 1 pc(s)","PCB-7afdaqhaqgjpbv9g2u3u-1"
"POWER","1","Kingbright APT3216SURCK","Surface Mount LED; Size : 3.2X1.6mm (1206); Color: Red; Lens: Water Clear","PCB-hlyt7mcxfauv9s69g0t9-1"
"R1, R2, R3","3","0R","Thick Film Resistors - SMD 0R 1%","PCB-3656032-1"
"R4","1","1.5k","Thick Film Resistors - SMD 1.5k 1%","PCB-3656032-1"
"R5, R11","2","22R","Surface Mount Thick Film Resistor, RC Series, 22 ohm, 125 mW, - 5%, 150 V, 0805 [2012 Metric]","R0805_B"
"R6, R7, R8, R9","4","100R","Thick Film Resistors - SMD 100R 1%","PCB-3656032-1"
"R10, R12, R13, R14, R15, R16, R17","7","1k","Thick Film Resistors - SMD 1K 1%","PCB-3656032-1"
"R21, R22, R23, R24","4","2k","Thick Film Resistors - SMD 2K 1%","PCB-3656032-1"
"R25, R26, R27, R28, R29, R30, R31","7","10k","Thick Film Resistors - SMD 10K 1%","PCB-3656032-1"
"R32","1","30.1k","Thick Film Resistors - SMD 30.1K 1%","PCB-3656032-1"
"R35","1","47k","Thick Film Resistors - SMD 47K 1%","PCB-3656032-1"
"R36","1","68k","Thick Film Resistors - SMD 68K 1%","PCB-3656032-1"
"R37","1","100k","Thick Film Resistors - SMD 100K 1%","PCB-3656032-1"
"S1","1","C&K Components AYZ0202AGRLC","Switch Slide ON ON DPDT Top Slide 0.1A 12VDC 1.2VA 10000Cycles Gull Wing SMD T/R","PCB-zwg2jkdfv3v80rwiptuy-1"
"U1","1","STM32F103RBT7","ARM Cortex-M3 32-bit MCU, 128 KB Flash, 20 KB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 105 degC, Tray","STM-LQFP64_M"
"U2","1","RN52","Bluetooth 3.0 class 2 surface mount audio module with PCB trace antenna","PCBComponent_1"
"U3","1","LM1117MP-3.3","800mA Low-Dropout Linear Regulator, 4-pin SOT-223","MP04A_L"
"U4","1","THS4522IPWR","Very Low Power Dual Channel Rail-to-Rail Output Fully Differential Amplifier, 2.5 to 5.5 V, -40 to 85 degC, 16-pin SOP (PW16), Green (RoHS & no Sb/Br)","TI-PW16_L"
"U6","1","SN65HVD234DR","3.3V CAN Transceiver with Sleep Mode, 6 mA, -40 to 125 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)","D8_M"
"Y1","1","8MHz","Ceramic Resonator 8MHz ??0.5% (Tol) ??0.2% (Stability) 33pF 40Ohm 3-Pin CSMD T/R","PCB-ng6ugelxrx25tzpfucaw-1"
